OriginalText,Location1,Aspect1,Sentiment1,Location2,Aspect2,Sentiment2,MaskedText,LocationsInText,Date,Lemma_Tags,lem_words_masked,lem_tag_masked,lemma_tokens,Lemma_Tags_Orig,lem_words,lem_tag,lemma_tokens_Orig
you can buy a property round by Lincolnshire which is one of the cheapest areas in Inner London,Lincolnshire,price,1,,,0,you can buy a property round by locationA which is one of the cheapest areas in inner london,"[('Lincolnshire', 'GPE'), ('Inner London', 'GPE')]",2021-07-23,"['buy/VB', 'property/NN', 'round/NN', 'locationa/NN', 'be/VB', 'cheapest/JJ', 'area/NN', 'inner/JJ', 'london/NN']",buy property round locationa be cheapest area inner london,VB NN NN NN VB JJ NN JJ NN,"['buy', 'property', 'round', 'locationa', 'be', 'cheapest', 'area', 'inner', 'london']","['buy/VB', 'property/NN', 'round/NN', 'lincolnshire/NN', 'be/VB', 'cheapest/JJ', 'area/NN', 'inner/JJ', 'london/NN']",buy property round lincolnshire be cheapest area inner london,VB NN NN NN VB JJ NN JJ NN,"['buy', 'property', 'round', 'lincolnshire', 'be', 'cheapest', 'area', 'inner', 'london']"
you can travel into Central London on the DLR easily from al over Greater Manchester and there are night buses all night to take you back,Greater Manchester,transit-location,1,,,0,you can travel into central london on the dlr easily from al over locationA and there are night buses all night to take you back,"[('Central London', 'GPE'), ('Greater Manchester', 'GPE')]",2021-07-23,"['travel/VB', 'central/JJ', 'london/NN', 'dlr/NN', 'easily/RB', 'al/NN', 'locationa/NN', 'be/VB', 'night/NN', 'bus/NN', 'night/NN', 'take/VB', 'back/RB']",travel central london dlr easily al locationa be night bus night take back,VB JJ NN NN RB NN NN VB NN NN NN VB RB,"['travel', 'central', 'london', 'dlr', 'easily', 'al', 'locationa', 'be', 'night', 'bus', 'night', 'take', 'back']","['travel/VB', 'central/JJ', 'london/NN', 'dlr/NN', 'easily/RB', 'al/NN', 'greater/JJ', 'manchester/NN', 'be/VB', 'night/NN', 'bus/NN', 'night/NN', 'take/VB', 'back/RB']",travel central london dlr easily al greater manchester be night bus night take back,VB JJ NN NN RB NN JJ NN VB NN NN NN VB RB,"['travel', 'central', 'london', 'dlr', 'easily', 'al', 'greater', 'manchester', 'be', 'night', 'bus', 'night', 'take', 'back']"
you could go to Berkshire thats comparitively cheap and quite safe,Berkshire,safety,1,Berkshire,price,1,you could go to locationA thats comparatively cheap and quite safe,"[('Berkshire', 'GPE')]",2021-07-23,"['go/VB', 'locationa/VB', 'that/VB', 'comparatively/RB', 'cheap/JJ', 'quite/RB', 'safe/JJ']",go locationa that comparatively cheap quite safe,VB VB VB RB JJ RB JJ,"['go', 'locationa', 'that', 'comparatively', 'cheap', 'quite', 'safe']","['go/VB', 'berkshire/VB', 'that/VB', 'comparitively/RB', 'cheap/JJ', 'quite/RB', 'safe/JJ']",go berkshire that comparitively cheap quite safe,VB VB VB RB JJ RB JJ,"['go', 'berkshire', 'that', 'comparitively', 'cheap', 'quite', 'safe']"
you could try living in towns like Warwickshire or Bedfordshire,Bedfordshire,live,1,Warwickshire,live,1,you could try living in towns like locationB or locationA,"[('Warwickshire', 'GPE'), ('Bedfordshire', 'GPE')]",2021-07-23,"['try/VB', 'living/NN', 'town/NN', 'locationb/NN', 'locationa/VB']",try living town locationb locationa,VB NN NN NN VB,"['try', 'living', 'town', 'locationb', 'locationa']","['try/VB', 'living/NN', 'town/NN', 'warwickshire/NN', 'bedfordshire/NN']",try living town warwickshire bedfordshire,VB NN NN NN NN,"['try', 'living', 'town', 'warwickshire', 'bedfordshire']"
you have nothing to fear in Cheshire its safe,Cheshire,safety,1,,,0,you have nothing to fear in locationA its safe,"[('Cheshire', 'GPE')]",2021-07-23,"['have/VB', 'nothing/NN', 'fear/VB', 'locationa/NN', 'safe/JJ']",have nothing fear locationa safe,VB NN VB NN JJ,"['have', 'nothing', 'fear', 'locationa', 'safe']","['have/VB', 'nothing/NN', 'fear/VB', 'cheshire/NN', 'safe/JJ']",have nothing fear cheshire safe,VB NN VB NN JJ,"['have', 'nothing', 'fear', 'cheshire', 'safe']"
you should maybe try Merseyside for convenience of travel and because of 2012 olympics,Merseyside,general,1,Merseyside,transit-location,1,you should maybe try locationA for convenience of travel and because of 2012 olympics,"[('Merseyside', 'GPE')]",2021-07-23,"['maybe/RB', 'try/VB', 'locationa/NN', 'convenience/NN', 'travel/NN', 'olympic/NN']",maybe try locationa convenience travel olympic,RB VB NN NN NN NN,"['maybe', 'try', 'locationa', 'convenience', 'travel', 'olympic']","['maybe/RB', 'try/VB', 'merseyside/NN', 'convenience/NN', 'travel/NN', 'olympic/NN']",maybe try merseyside convenience travel olympic,RB VB NN NN NN NN,"['maybe', 'try', 'merseyside', 'convenience', 'travel', 'olympic']"
you will have no problems there Oxfordshire is a nice place,Oxfordshire,safety,1,Oxfordshire,general,1,you will have no problems there locationA is a nice place,"[('Oxfordshire', 'GPE')]",2021-07-23,"['have/VB', 'problem/NN', 'there/RB', 'locationa/VB', 'be/VB', 'nice/JJ', 'place/NN']",have problem there locationa be nice place,VB NN RB VB VB JJ NN,"['have', 'problem', 'there', 'locationa', 'be', 'nice', 'place']","['have/VB', 'problem/NN', 'there/RB', 'oxfordshire/JJ', 'be/VB', 'nice/JJ', 'place/NN']",have problem there oxfordshire be nice place,VB NN RB JJ VB JJ NN,"['have', 'problem', 'there', 'oxfordshire', 'be', 'nice', 'place']"
you wo not meet many scary poor people there Northamptonshire is a posh area  unlike where i am,Northamptonshire,price,0,,,0,you wo not meet many scary poor people there locationA is a posh area  unlike where i am,"[('Northamptonshire', 'GPE')]",2021-07-23,"['not/RB', 'meet/VB', 'many/JJ', 'scary/JJ', 'poor/JJ', 'person/NN', 'there/RB', 'locationa/VB', 'be/VB', 'posh/JJ', 'area/NN', 'be/VB']",not meet many scary poor person there locationa be posh area be,RB VB JJ JJ JJ NN RB VB VB JJ NN VB,"['not', 'meet', 'many', 'scary', 'poor', 'person', 'there', 'locationa', 'be', 'posh', 'area', 'be']","['not/RB', 'meet/VB', 'many/JJ', 'scary/JJ', 'poor/JJ', 'person/NN', 'there/RB', 'be/VB', 'posh/JJ', 'area/NN', 'be/VB']",not meet many scary poor person there be posh area be,RB VB JJ JJ JJ NN RB VB JJ NN VB,"['not', 'meet', 'many', 'scary', 'poor', 'person', 'there', 'be', 'posh', 'area', 'be']"
 Similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops  making the Hampshire seem a bit cut off at times,Hampshire,transit-location,0,,,0,similarly neither has the jubilee line which means the odd time you end up going half way round the world just to go two stops  making the locationA seem a bit cut off at times,"[('Similarly', 'GPE'), ('Hampshire', 'GPE')]",2021-07-23,"['similarly/RB', 'have/VB', 'jubilee/NN', 'line/NN', 'mean/VB', 'odd/JJ', 'time/NN', 'end/VB', 'go/VB', 'way/NN', 'round/NN', 'world/NN', 'just/RB', 'go/VB', 'stop/NN', 'make/VB', 'locationa/NN', 'seem/VB', 'bit/NN', 'cut/VB', 'time/NN']",similarly have jubilee line mean odd time end go way round world just go stop make locationa seem bit cut time,RB VB NN NN VB JJ NN VB VB NN NN NN RB VB NN VB NN VB NN VB NN,"['similarly', 'have', 'jubilee', 'line', 'mean', 'odd', 'time', 'end', 'go', 'way', 'round', 'world', 'just', 'go', 'stop', 'make', 'locationa', 'seem', 'bit', 'cut', 'time']","['similarly/RB', 'have/VB', 'jubilee/NN', 'line/NN', 'mean/VB', 'odd/JJ', 'time/NN', 'end/VB', 'go/VB', 'way/NN', 'round/NN', 'world/NN', 'just/RB', 'go/VB', 'stop/NN', 'make/VB', 'hampshire/NN', 'seem/VB', 'bit/NN', 'cut/VB', 'time/NN']",similarly have jubilee line mean odd time end go way round world just go stop make hampshire seem bit cut time,RB VB NN NN VB JJ NN VB VB NN NN NN RB VB NN VB NN VB NN VB NN,"['similarly', 'have', 'jubilee', 'line', 'mean', 'odd', 'time', 'end', 'go', 'way', 'round', 'world', 'just', 'go', 'stop', 'make', 'hampshire', 'seem', 'bit', 'cut', 'time']"
 Norfolk is great for lazy Sunday morning walks ,Norfolk,general,1,,,0,locationA is great for lazy sunday morning walks,"[('Norfolk', 'GPE')]",2021-07-23,"['locationa/NN', 'be/VB', 'great/JJ', 'lazy/JJ', 'sunday/NN', 'morning/NN', 'walk/VB']",locationa be great lazy sunday morning walk,NN VB JJ JJ NN NN VB,"['locationa', 'be', 'great', 'lazy', 'sunday', 'morning', 'walk']","['norfolk/NN', 'be/VB', 'great/JJ', 'lazy/JJ', 'sunday/NN', 'morning/NN', 'walk/VB']",norfolk be great lazy sunday morning walk,NN VB JJ JJ NN NN VB,"['norfolk', 'be', 'great', 'lazy', 'sunday', 'morning', 'walk']"
However the best Thai restaurant in all of London is in West Yorkshire I would not live in Shropshire but one of the burbs,Shropshire,live,0,West Yorkshire,dining,1,however the best thai restaurant in all of london is in locationB i would not live in locationA but one of the burns,"[('London', 'GPE'), ('West Yorkshire', 'GPE'), ('Shropshire', 'GPE')]",2021-07-23,"['however/RB', 'best/JJ', 'thai/NN', 'restaurant/NN', 'london/NN', 'be/VB', 'locationb/NN', 'not/RB', 'live/VB', 'locationa/NN', 'burn/NN']",however best thai restaurant london be locationb not live locationa burn,RB JJ NN NN NN VB NN RB VB NN NN,"['however', 'best', 'thai', 'restaurant', 'london', 'be', 'locationb', 'not', 'live', 'locationa', 'burn']","['however/RB', 'best/JJ', 'thai/NN', 'restaurant/NN', 'london/NN', 'be/VB', 'west/NN', 'yorkshire/NN', 'not/RB', 'live/VB', 'shropshire/NN', 'burb/NN']",however best thai restaurant london be west yorkshire not live shropshire burb,RB JJ NN NN NN VB NN NN RB VB NN NN,"['however', 'best', 'thai', 'restaurant', 'london', 'be', 'west', 'yorkshire', 'not', 'live', 'shropshire', 'burb']"
I live in Gloucestershire and think its great,Gloucestershire,live,1,,,0,i live in locationA and think its great,"[('Gloucestershire', 'GPE')]",2021-07-23,"['live/VB', 'locationa/NN', 'think/VB', 'great/JJ']",live locationa think great,VB NN VB JJ,"['live', 'locationa', 'think', 'great']","['live/VB', 'gloucestershire/NN', 'think/VB', 'great/JJ']",live gloucestershire think great,VB NN VB JJ,"['live', 'gloucestershire', 'think', 'great']"
West Yorkshire is a lot further out btw,West Yorkshire,transit-location,0,,,0,locationA is a lot further out btw,"[('West Yorkshire', 'GPE')]",2021-07-23,"['locationa/NN', 'be/VB', 'lot/NN', 'further/RB', 'out/RB', 'btw/NN']",locationa be lot further out btw,NN VB NN RB RB NN,"['locationa', 'be', 'lot', 'further', 'out', 'btw']","['west/NN', 'yorkshire/NN', 'be/VB', 'lot/NN', 'further/RB', 'out/RB', 'btw/NN']",west yorkshire be lot further out btw,NN NN VB NN RB RB NN,"['west', 'yorkshire', 'be', 'lot', 'further', 'out', 'btw']"
No offence to anyone living there we used to visit someone in West Yorkshire and it was SOOOOOOOOOOOO DEPRESSING,West Yorkshire,general,0,,,0,no offence to anyone living there we used to visit someone in locationA and it was soo depressing,"[('West Yorkshire', 'GPE'), ('SOOOOOOOOOOOO', 'GPE')]",2021-07-23,"['offence/NN', 'anyone/NN', 'live/VB', 'used/VB', 'visit/VB', 'someone/NN', 'locationa/NN', 'be/VB', 'depress/VB']",offence anyone live used visit someone locationa be depress,NN NN VB VB VB NN NN VB VB,"['offence', 'anyone', 'live', 'used', 'visit', 'someone', 'locationa', 'be', 'depress']","['offence/NN', 'anyone/NN', 'live/VB', 'used/VB', 'visit/VB', 'someone/NN', 'west/NN', 'yorkshire/NN', 'be/VB', 'soooooooooooo/JJ', 'depressing/NN']",offence anyone live used visit someone west yorkshire be soooooooooooo depressing,NN NN VB VB VB NN NN NN VB JJ NN,"['offence', 'anyone', 'live', 'used', 'visit', 'someone', 'west', 'yorkshire', 'be', 'soooooooooooo', 'depressing']"
avoid Warwickshire,Warwickshire,general,0,,,0,avoid locationA,"[('Warwickshire', 'GPE')]",2021-07-23,"['avoid/VB', 'locationa/NN']",avoid locationa,VB NN,"['avoid', 'locationa']","['avoid/VB', 'warwickshire/NN']",avoid warwickshire,VB NN,"['avoid', 'warwickshire']"
highly recommended Warwickshire,Warwickshire,general,1,,,0,highly recommended locationA,"[('Warwickshire', 'GPE')]",2021-07-23,"['highly/RB', 'recommend/VB', 'locationa/NN']",highly recommend locationa,RB VB NN,"['highly', 'recommend', 'locationa']","['highly/RB', 'recommend/VB', 'warwickshire/NN']",highly recommend warwickshire,RB VB NN,"['highly', 'recommend', 'warwickshire']"
 And no need to worry about problems with the area because Isle of Wight is a safe and pleasant suburban town,Isle of Wight,safety,1,,,0,and no need to worry about problems with the area because locationA is a safe and pleasant suburban town,"[('Isle of Wight', 'GPE')]",2021-07-23,"['need/NN', 'worry/VB', 'problem/NN', 'area/NN', 'locationa/NN', 'be/VB', 'safe/JJ', 'pleasant/JJ', 'suburban/JJ', 'town/NN']",need worry problem area locationa be safe pleasant suburban town,NN VB NN NN NN VB JJ JJ JJ NN,"['need', 'worry', 'problem', 'area', 'locationa', 'be', 'safe', 'pleasant', 'suburban', 'town']","['need/NN', 'worry/VB', 'problem/NN', 'area/NN', 'isle/NN', 'wight/NN', 'be/VB', 'safe/JJ', 'pleasant/JJ', 'suburban/JJ', 'town/NN']",need worry problem area isle wight be safe pleasant suburban town,NN VB NN NN NN NN VB JJ JJ JJ NN,"['need', 'worry', 'problem', 'area', 'isle', 'wight', 'be', 'safe', 'pleasant', 'suburban', 'town']"
 I should mention that the area on the Rutland side of Rutland is generally a bit quieter and leafier,Rutland,green-nature,1,Rutland,quiet,1,i should mention that the area on the locationA side of locationA is generally a bit quieter and leader,"[('Rutland', 'GPE'), ('Rutland', 'GPE')]",2021-07-23,"['mention/VB', 'area/NN', 'locationa/JJ', 'side/NN', 'locationa/NN', 'be/VB', 'generally/RB', 'bit/RB', 'quieter/JJ', 'leader/NN']",mention area locationa side locationa be generally bit quieter leader,VB NN JJ NN NN VB RB RB JJ NN,"['mention', 'area', 'locationa', 'side', 'locationa', 'be', 'generally', 'bit', 'quieter', 'leader']","['mention/VB', 'area/NN', 'rutland/JJ', 'side/NN', 'rutland/NN', 'be/VB', 'generally/RB', 'bit/RB', 'quieter/JJ', 'leafier/JJ']",mention area rutland side rutland be generally bit quieter leafier,VB NN JJ NN NN VB RB RB JJ JJ,"['mention', 'area', 'rutland', 'side', 'rutland', 'be', 'generally', 'bit', 'quieter', 'leafier']"
 If you can afford to be close to London consider Hertfordshire  its probably the nicest area within spitting distance of London,Hertfordshire,price,0,Hertfordshire,general,1,if you can afford to be close to london consider locationA  its probably the incest area within spitting distance of london,"[('Hertfordshire', 'GPE'), ('London', 'GPE')]",2021-07-23,"['afford/VB', 'be/VB', 'close/JJ', 'london/NN', 'consider/VB', 'locationa/JJ', 'probably/RB', 'incest/NN', 'area/NN', 'spit/VB', 'distance/NN', 'london/NN']",afford be close london consider locationa probably incest area spit distance london,VB VB JJ NN VB JJ RB NN NN VB NN NN,"['afford', 'be', 'close', 'london', 'consider', 'locationa', 'probably', 'incest', 'area', 'spit', 'distance', 'london']","['afford/VB', 'be/VB', 'close/JJ', 'london/NN', 'consider/VB', 'probably/RB', 'nicest/JJ', 'area/NN', 'spit/VB', 'distance/NN', 'london/NN']",afford be close london consider probably nicest area spit distance london,VB VB JJ NN VB RB JJ NN VB NN NN,"['afford', 'be', 'close', 'london', 'consider', 'probably', 'nicest', 'area', 'spit', 'distance', 'london']"
 Worcestershire and Somerset are bloody gorgeous   but again  VERY expensive,Somerset,general,1,Worcestershire,general,1,locationA and locationB are bloody gorgeous   but again  very expensive,"[('Worcestershire', 'GPE'), ('Somerset', 'GPE')]",2021-07-23,"['locationa/NN', 'locationb/NN', 'be/VB', 'bloody/JJ', 'gorgeous/JJ', 'again/RB', 'very/RB', 'expensive/JJ']",locationa locationb be bloody gorgeous again very expensive,NN NN VB JJ JJ RB RB JJ,"['locationa', 'locationb', 'be', 'bloody', 'gorgeous', 'again', 'very', 'expensive']","['worcestershire/NN', 'somerset/NN', 'be/VB', 'bloody/JJ', 'gorgeous/JJ', 'again/RB', 'very/RB', 'expensive/JJ']",worcestershire somerset be bloody gorgeous again very expensive,NN NN VB JJ JJ RB RB JJ,"['worcestershire', 'somerset', 'be', 'bloody', 'gorgeous', 'again', 'very', 'expensive']"
 East Sussex is very central  and its easy to get to anything  but its not very residential,East Sussex,transit-location,1,,,0,locationA is very central  and its easy to get to anything  but its not very residential,"[('East Sussex', 'GPE')]",2021-07-23,"['locationa/NN', 'be/VB', 'very/RB', 'central/JJ', 'easy/JJ', 'get/VB', 'anything/NN', 'not/RB', 'very/RB', 'residential/JJ']",locationa be very central easy get anything not very residential,NN VB RB JJ JJ VB NN RB RB JJ,"['locationa', 'be', 'very', 'central', 'easy', 'get', 'anything', 'not', 'very', 'residential']","['east/RB', 'sussex/NN', 'be/VB', 'very/RB', 'central/JJ', 'easy/JJ', 'get/VB', 'anything/NN', 'not/RB', 'very/RB', 'residential/JJ']",east sussex be very central easy get anything not very residential,RB NN VB RB JJ JJ VB NN RB RB JJ,"['east', 'sussex', 'be', 'very', 'central', 'easy', 'get', 'anything', 'not', 'very', 'residential']"
 Bristols full of hotels too much into the turistic thing but of course its just what I think and that does not count,Bristol,touristy,1,,,0,locationAs full of hotels too much into the futuristic thing but of course its just what i think and that does not count,"[('Bristols', 'GPE')]",2021-07-23,"['locationas/JJ', 'full/JJ', 'hotel/NN', 'too/RB', 'much/JJ', 'futuristic/JJ', 'thing/NN', 'course/NN', 'just/RB', 'think/NN', 'do/VB', 'not/RB', 'count/VB']",locationas full hotel too much futuristic thing course just think do not count,JJ JJ NN RB JJ JJ NN NN RB NN VB RB VB,"['locationas', 'full', 'hotel', 'too', 'much', 'futuristic', 'thing', 'course', 'just', 'think', 'do', 'not', 'count']","['bristol/NN', 'full/JJ', 'hotel/NN', 'too/RB', 'much/JJ', 'turistic/JJ', 'thing/NN', 'course/NN', 'just/RB', 'think/NN', 'do/VB', 'not/RB', 'count/VB']",bristol full hotel too much turistic thing course just think do not count,NN JJ NN RB JJ JJ NN NN RB NN VB RB VB,"['bristol', 'full', 'hotel', 'too', 'much', 'turistic', 'thing', 'course', 'just', 'think', 'do', 'not', 'count']"
 and Derbyshire also have lots of flatshares and good transport links,Derbyshire,transit-location,1,,,0,and locationA also have lots of flatshares and good transport links,"[('Derbyshire', 'GPE')]",2021-07-23,"['locationa/NN', 'also/RB', 'have/VB', 'lot/NN', 'flatshare/NN', 'good/JJ', 'transport/NN', 'link/VB']",locationa also have lot flatshare good transport link,NN RB VB NN NN JJ NN VB,"['locationa', 'also', 'have', 'lot', 'flatshare', 'good', 'transport', 'link']","['derbyshire/NN', 'also/RB', 'have/VB', 'lot/NN', 'flatshare/NN', 'good/JJ', 'transport/NN', 'link/VB']",derbyshire also have lot flatshare good transport link,NN RB VB NN NN JJ NN VB,"['derbyshire', 'also', 'have', 'lot', 'flatshare', 'good', 'transport', 'link']"
 and Oxfordshire and Wiltshire a bit further in on that side  but not very hip and happening a bit drab,Oxfordshire,general,0,Oxfordshire,transit-location,0,and locationA and locationB a bit further in on that side  but not very hip and happening a bit drab,"[('Oxfordshire', 'GPE'), ('Wiltshire a', 'GPE')]",2021-07-23,"['locationa/NN', 'locationb/VB', 'bit/NN', 'further/RB', 'side/NN', 'not/RB', 'very/RB', 'hip/NN', 'happen/VB', 'bit/JJ', 'drab/JJ']",locationa locationb bit further side not very hip happen bit drab,NN VB NN RB NN RB RB NN VB JJ JJ,"['locationa', 'locationb', 'bit', 'further', 'side', 'not', 'very', 'hip', 'happen', 'bit', 'drab']","['oxfordshire/JJ', 'bit/NN', 'further/RB', 'side/NN', 'not/RB', 'very/RB', 'hip/NN', 'happen/VB', 'bit/JJ', 'drab/JJ']",oxfordshire bit further side not very hip happen bit drab,JJ NN RB NN RB RB NN VB JJ JJ,"['oxfordshire', 'bit', 'further', 'side', 'not', 'very', 'hip', 'happen', 'bit', 'drab']"
 The high street gets very busy at the weekend and in the summer because Durham is listed in all the tourist guides as a must see alternative place in London,Durham,quiet,0,Durham,touristy,1,the high street gets very busy at the weekend and in the summer because locationA is listed in all the tourist guides as a must see alternative place in london,"[('because', 'GPE')]",2021-07-23,"['high/JJ', 'street/NN', 'get/VB', 'very/RB', 'busy/JJ', 'weekend/NN', 'summer/NN', 'locationa/NN', 'be/VB', 'list/VB', 'tourist/NN', 'guide/NN', 'see/VB', 'alternative/JJ', 'place/NN', 'london/NN']",high street get very busy weekend summer locationa be list tourist guide see alternative place london,JJ NN VB RB JJ NN NN NN VB VB NN NN VB JJ NN NN,"['high', 'street', 'get', 'very', 'busy', 'weekend', 'summer', 'locationa', 'be', 'list', 'tourist', 'guide', 'see', 'alternative', 'place', 'london']","['high/JJ', 'street/NN', 'get/VB', 'very/RB', 'busy/JJ', 'weekend/NN', 'summer/NN', 'durham/NN', 'be/VB', 'list/VB', 'tourist/NN', 'guide/NN', 'see/VB', 'alternative/JJ', 'place/NN', 'london/NN']",high street get very busy weekend summer durham be list tourist guide see alternative place london,JJ NN VB RB JJ NN NN NN VB VB NN NN VB JJ NN NN,"['high', 'street', 'get', 'very', 'busy', 'weekend', 'summer', 'durham', 'be', 'list', 'tourist', 'guide', 'see', 'alternative', 'place', 'london']"
 Norfolk is a nice place to live,Norfolk,live,1,,,0,locationA is a nice place to live,"[('Norfolk', 'GPE')]",2021-07-23,"['locationa/NN', 'be/VB', 'nice/JJ', 'place/NN', 'live/VB']",locationa be nice place live,NN VB JJ NN VB,"['locationa', 'be', 'nice', 'place', 'live']","['norfolk/NN', 'be/VB', 'nice/JJ', 'place/NN', 'live/VB']",norfolk be nice place live,NN VB JJ NN VB,"['norfolk', 'be', 'nice', 'place', 'live']"
 have you tried somewhere on the outskirts like West Sussex or Suffolk ect,Suffolk,general,1,West Sussex,general,1,have you tried somewhere on the outskirts like locationA or locationB ect,"[('West Sussex', 'GPE')]",2021-07-23,"['have/VB', 'try/VB', 'somewhere/RB', 'outskirt/NN', 'locationa/NN', 'locationb/VB', 'ect/NN']",have try somewhere outskirt locationa locationb ect,VB VB RB NN NN VB NN,"['have', 'try', 'somewhere', 'outskirt', 'locationa', 'locationb', 'ect']","['have/VB', 'try/VB', 'somewhere/RB', 'outskirt/NN', 'west/NN', 'sussex/NN', 'suffolk/NN', 'ect/NN']",have try somewhere outskirt west sussex suffolk ect,VB VB RB NN NN NN NN NN,"['have', 'try', 'somewhere', 'outskirt', 'west', 'sussex', 'suffolk', 'ect']"
 Northumberland and Northumberland area is still the cheapest to rent AND to buy in London,Northumberland,price,1,Northumberland,price,1,locationB and locationA area is still the cheapest to rent and to buy in london,"[('Northumberland', 'GPE'), ('Northumberland', 'GPE'), ('London', 'GPE')]",2021-07-23,"['locationb/NN', 'locationa/JJ', 'area/NN', 'be/VB', 'still/RB', 'cheapest/JJ', 'rent/VB', 'buy/VB', 'london/NN']",locationb locationa area be still cheapest rent buy london,NN JJ NN VB RB JJ VB VB NN,"['locationb', 'locationa', 'area', 'be', 'still', 'cheapest', 'rent', 'buy', 'london']","['northumberland/NN', 'northumberland/JJ', 'area/NN', 'be/VB', 'still/RB', 'cheapest/JJ', 'rent/VB', 'buy/VB', 'london/NN']",northumberland northumberland area be still cheapest rent buy london,NN JJ NN VB RB JJ VB VB NN,"['northumberland', 'northumberland', 'area', 'be', 'still', 'cheapest', 'rent', 'buy', 'london']"
A bit further out towards the suburbs are Northumberland and Northamptonshire which are pleasant areas,Northumberland,transit-location,0,Northamptonshire,general,1,a bit further out towards the suburbs are locationA and locationB which are pleasant areas,"[('Northumberland', 'GPE'), ('Northamptonshire', 'GPE')]",2021-07-23,"['bit/NN', 'further/RB', 'out/RB', 'suburb/NN', 'be/VB', 'locationa/JJ', 'locationb/NN', 'be/VB', 'pleasant/JJ', 'area/NN']",bit further out suburb be locationa locationb be pleasant area,NN RB RB NN VB JJ NN VB JJ NN,"['bit', 'further', 'out', 'suburb', 'be', 'locationa', 'locationb', 'be', 'pleasant', 'area']","['bit/NN', 'further/RB', 'out/RB', 'suburb/NN', 'be/VB', 'northumberland/NN', 'be/VB', 'pleasant/JJ', 'area/NN']",bit further out suburb be northumberland be pleasant area,NN RB RB NN VB NN VB JJ NN,"['bit', 'further', 'out', 'suburb', 'be', 'northumberland', 'be', 'pleasant', 'area']"
A cheaper option yet is Greater London which is just right over the river from Greater London,Greater London,price,1,,,0,a cheaper option yet is locationA which is just right over the river from locationA,"[('Greater London', 'GPE'), ('Greater London', 'GPE')]",2021-07-23,"['cheaper/JJ', 'option/NN', 'yet/RB', 'be/VB', 'locationa/NN', 'be/VB', 'just/RB', 'right/RB', 'river/NN', 'locationa/NN']",cheaper option yet be locationa be just right river locationa,JJ NN RB VB NN VB RB RB NN NN,"['cheaper', 'option', 'yet', 'be', 'locationa', 'be', 'just', 'right', 'river', 'locationa']","['cheaper/JJ', 'option/NN', 'yet/RB', 'be/VB', 'greater/JJ', 'london/NN', 'be/VB', 'just/RB', 'right/RB', 'river/NN', 'greater/JJ', 'london/NN']",cheaper option yet be greater london be just right river greater london,JJ NN RB VB JJ NN VB RB RB NN JJ NN,"['cheaper', 'option', 'yet', 'be', 'greater', 'london', 'be', 'just', 'right', 'river', 'greater', 'london']"
A cool place to eat and drink in Hertfordshire is South Yorkshire,South Yorkshire,nightlife,1,South Yorkshire,dining,1,a cool place to eat and drink in locationB is locationA,"[('Hertfordshire', 'GPE'), ('South Yorkshire', 'GPE')]",2021-07-23,"['cool/JJ', 'place/NN', 'eat/VB', 'drink/NN', 'locationb/NN', 'be/VB', 'locationa/JJ']",cool place eat drink locationb be locationa,JJ NN VB NN NN VB JJ,"['cool', 'place', 'eat', 'drink', 'locationb', 'be', 'locationa']","['cool/JJ', 'place/NN', 'eat/VB', 'drink/NN', 'hertfordshire/NN', 'be/VB', 'south/RB', 'yorkshire/NN']",cool place eat drink hertfordshire be south yorkshire,JJ NN VB NN NN VB RB NN,"['cool', 'place', 'eat', 'drink', 'hertfordshire', 'be', 'south', 'yorkshire']"
A great place Northamptonshire Middx is not in London and is only a postal name as Suffolk is now Surrey ,Northamptonshire,general,1,,,0,a great place locationA mid is not in london and is only a postal name as locationB is now surrey,"[('Northamptonshire Middx', 'GPE'), ('Surrey', 'GPE')]",2021-07-23,"['great/JJ', 'place/NN', 'locationa/NN', 'mid/JJ', 'be/VB', 'not/RB', 'london/NN', 'be/VB', 'only/RB', 'postal/JJ', 'name/NN', 'locationb/NN', 'be/VB', 'now/RB', 'surrey/VB']",great place locationa mid be not london be only postal name locationb be now surrey,JJ NN NN JJ VB RB NN VB RB JJ NN NN VB RB VB,"['great', 'place', 'locationa', 'mid', 'be', 'not', 'london', 'be', 'only', 'postal', 'name', 'locationb', 'be', 'now', 'surrey']","['great/JJ', 'place/NN', 'middx/NN', 'be/VB', 'not/RB', 'london/NN', 'be/VB', 'only/RB', 'postal/JJ', 'name/NN', 'suffolk/NN', 'be/VB', 'now/RB', 'surrey/VB']",great place middx be not london be only postal name suffolk be now surrey,JJ NN NN VB RB NN VB RB JJ NN NN VB RB VB,"['great', 'place', 'middx', 'be', 'not', 'london', 'be', 'only', 'postal', 'name', 'suffolk', 'be', 'now', 'surrey']"
